"Tabela 7127 - Número médio de anos de estudo das pessoas de 15 anos ou mais, por cor ou raça e grupo de idade",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Variável - Número médio de anos de estudo das pessoas de 15 anos ou mais de idade,,,,,,,
Nível,Cód.,"Brasil, Grande Região e Unidade da Federação",Ano,Cor ou raça,Grupo de idade,,
UF,43,Rio Grande do Sul,2022,Branca,15 a 17 anos,9.2,Anos
UF,43,Rio Grande do Sul,2022,Branca,18 a 29 anos,11.8,Anos
UF,43,Rio Grande do Sul,2022,Branca,18 a 24 anos,12.1,Anos
UF,43,Rio Grande do Sul,2022,Branca,25 anos ou mais,10.5,Anos
UF,43,Rio Grande do Sul,2022,Branca,25 a 39 anos,12.4,Anos
UF,43,Rio Grande do Sul,2022,Branca,40 a 59 anos,10.6,Anos
UF,43,Rio Grande do Sul,2022,Branca,60 anos ou mais,8.2,Anos
UF,43,Rio Grande do Sul,2022,Preta ou parda,15 anos ou mais,9.2,Anos
UF,43,Rio Grande do Sul,2022,Preta ou parda,15 a 17 anos,8.9,Anos
UF,43,Rio Grande do Sul,2022,Preta ou parda,18 a 29 anos,10.6,Anos
UF,43,Rio Grande do Sul,2022,Preta ou parda,18 a 24 anos,10.8,Anos
UF,43,Rio Grande do Sul,2022,Preta ou parda,25 anos ou mais,9.0,Anos
UF,43,Rio Grande do Sul,2022,Preta ou parda,25 a 39 anos,10.8,Anos
UF,43,Rio Grande do Sul,2022,Preta ou parda,40 a 59 anos,9.0,Anos
UF,43,Rio Grande do Sul,2022,Preta ou parda,60 anos ou mais,6.1,Anos
UF,43,Rio Grande do Sul,2023,Branca,15 anos ou mais,10.5,Anos
UF,43,Rio Grande do Sul,2023,Branca,15 a 17 anos,9.2,Anos
UF,43,Rio Grande do Sul,2023,Branca,18 a 29 anos,12.0,Anos
UF,43,Rio Grande do Sul,2023,Branca,18 a 24 anos,12.2,Anos
UF,43,Rio Grande do Sul,2023,Branca,25 anos ou mais,10.4,Anos
UF,43,Rio Grande do Sul,2023,Branca,25 a 39 anos,12.4,Anos
UF,43,Rio Grande do Sul,2023,Branca,40 a 59 anos,10.7,Anos
UF,43,Rio Grande do Sul,2023,Branca,60 anos ou mais,7.9,Anos
UF,43,Rio Grande do Sul,2023,Preta ou parda,15 anos ou mais,9.5,Anos
UF,43,Rio Grande do Sul,2023,Preta ou parda,15 a 17 anos,8.9,Anos
UF,43,Rio Grande do Sul,2023,Preta ou parda,18 a 29 anos,11.0,Anos
UF,43,Rio Grande do Sul,2023,Preta ou parda,18 a 24 anos,11.1,Anos
UF,43,Rio Grande do Sul,2023,Preta ou parda,25 anos ou mais,9.3,Anos
UF,43,Rio Grande do Sul,2023,Preta ou parda,25 a 39 anos,11.1,Anos
UF,43,Rio Grande do Sul,2023,Preta ou parda,40 a 59 anos,9.1,Anos
UF,43,Rio Grande do Sul,2023,Preta ou parda,60 anos ou mais,6.2,Anos
UF,43,Rio Grande do Sul,2024,Branca,15 anos ou mais,10.7,Anos
UF,43,Rio Grande do Sul,2024,Branca,15 a 17 anos,9.4,Anos
UF,43,Rio Grande do Sul,2024,Branca,18 a 29 anos,12.0,Anos
UF,43,Rio Grande do Sul,2024,Branca,18 a 24 anos,12.2,Anos
UF,43,Rio Grande do Sul,2024,Branca,25 anos ou mais,10.7,Anos
UF,43,Rio Grande do Sul,2024,Branca,25 a 39 anos,12.5,Anos
UF,43,Rio Grande do Sul,2024,Branca,40 a 59 anos,10.9,Anos
UF,43,Rio Grande do Sul,2024,Branca,60 anos ou mais,8.5,Anos
UF,43,Rio Grande do Sul,2024,Preta ou parda,15 anos ou mais,9.6,Anos
UF,43,Rio Grande do Sul,2024,Preta ou parda,15 a 17 anos,8.7,Anos
UF,43,Rio Grande do Sul,2024,Preta ou parda,18 a 29 anos,10.8,Anos
UF,43,Rio Grande do Sul,2024,Preta ou parda,18 a 24 anos,11.1,Anos
UF,43,Rio Grande do Sul,2024,Preta ou parda,25 anos ou mais,9.5,Anos
UF,43,Rio Grande do Sul,2024,Preta ou parda,25 a 39 anos,11.2,Anos
UF,43,Rio Grande do Sul,2024,Preta ou parda,40 a 59 anos,9.4,Anos
UF,43,Rio Grande do Sul,2024,Preta ou parda,60 anos ou mais,6.8,Anos
UF,50,Mato Grosso do Sul,2016,Branca,15 anos ou mais,9.9,Anos
UF,50,Mato Grosso do Sul,2016,Branca,15 a 17 anos,9.2,Anos
UF,50,Mato Grosso do Sul,2016,Branca,18 a 29 anos,11.4,Anos
UF,50,Mato Grosso do Sul,2016,Branca,18 a 24 anos,11.7,Anos
UF,50,Mato Grosso do Sul,2016,Branca,25 anos ou mais,9.7,Anos
UF,50,Mato Grosso do Sul,2016,Branca,25 a 39 anos,11.7,Anos
UF,50,Mato Grosso do Sul,2016,Branca,40 a 59 anos,9.4,Anos
UF,50,Mato Grosso do Sul,2016,Branca,60 anos ou mais,6.3,Anos
UF,50,Mato Grosso do Sul,2016,Preta ou parda,15 anos ou mais,8.6,Anos
UF,50,Mato Grosso do Sul,2016,Preta ou parda,15 a 17 anos,8.3,Anos
UF,50,Mato Grosso do Sul,2016,Preta ou parda,18 a 29 anos,10.4,Anos
UF,50,Mato Grosso do Sul,2016,Preta ou parda,18 a 24 anos,10.4,Anos
UF,50,Mato Grosso do Sul,2016,Preta ou parda,25 anos ou mais,8.3,Anos
UF,50,Mato Grosso do Sul,2016,Preta ou parda,25 a 39 anos,10.2,Anos
UF,50,Mato Grosso do Sul,2016,Preta ou parda,40 a 59 anos,7.7,Anos
UF,50,Mato Grosso do Sul,2016,Preta ou parda,60 anos ou mais,4.6,Anos
UF,50,Mato Grosso do Sul,2017,Branca,15 anos ou mais,10.3,Anos
UF,50,Mato Grosso do Sul,2017,Branca,15 a 17 anos,9.0,Anos
UF,50,Mato Grosso do Sul,2017,Branca,18 a 29 anos,11.7,Anos
UF,50,Mato Grosso do Sul,2017,Branca,18 a 24 anos,12.0,Anos
UF,50,Mato Grosso do Sul,2017,Branca,25 anos ou mais,10.2,Anos
UF,50,Mato Grosso do Sul,2017,Branca,25 a 39 anos,11.9,Anos
UF,50,Mato Grosso do Sul,2017,Branca,40 a 59 anos,10.1,Anos
UF,50,Mato Grosso do Sul,2017,Branca,60 anos ou mais,7.0,Anos
UF,50,Mato Grosso do Sul,2017,Preta ou parda,15 anos ou mais,8.8,Anos
UF,50,Mato Grosso do Sul,2017,Preta ou parda,15 a 17 anos,8.5,Anos
UF,50,Mato Grosso do Sul,2017,Preta ou parda,18 a 29 anos,10.5,Anos
UF,50,Mato Grosso do Sul,2017,Preta ou parda,18 a 24 anos,10.6,Anos
UF,50,Mato Grosso do Sul,2017,Preta ou parda,25 anos ou mais,8.5,Anos
UF,50,Mato Grosso do Sul,2017,Preta ou parda,25 a 39 anos,10.5,Anos
UF,50,Mato Grosso do Sul,2017,Preta ou parda,40 a 59 anos,7.9,Anos
UF,50,Mato Grosso do Sul,2017,Preta ou parda,60 anos ou mais,5.1,Anos
UF,50,Mato Grosso do Sul,2018,Branca,15 anos ou mais,10.4,Anos
UF,50,Mato Grosso do Sul,2018,Branca,15 a 17 anos,9.3,Anos
UF,50,Mato Grosso do Sul,2018,Branca,18 a 29 anos,11.7,Anos
UF,50,Mato Grosso do Sul,2018,Branca,18 a 24 anos,12.0,Anos
UF,50,Mato Grosso do Sul,2018,Branca,25 anos ou mais,10.2,Anos
UF,50,Mato Grosso do Sul,2018,Branca,25 a 39 anos,12.3,Anos
UF,50,Mato Grosso do Sul,2018,Branca,40 a 59 anos,10.1,Anos
UF,50,Mato Grosso do Sul,2018,Branca,60 anos ou mais,6.9,Anos
UF,50,Mato Grosso do Sul,2018,Preta ou parda,15 anos ou mais,8.9,Anos
UF,50,Mato Grosso do Sul,2018,Preta ou parda,15 a 17 anos,8.6,Anos
UF,50,Mato Grosso do Sul,2018,Preta ou parda,18 a 29 anos,10.6,Anos
UF,50,Mato Grosso do Sul,2018,Preta ou parda,18 a 24 anos,10.6,Anos
UF,50,Mato Grosso do Sul,2018,Preta ou parda,25 anos ou mais,8.6,Anos
UF,50,Mato Grosso do Sul,2018,Preta ou parda,25 a 39 anos,10.3,Anos
UF,50,Mato Grosso do Sul,2018,Preta ou parda,40 a 59 anos,8.4,Anos
UF,50,Mato Grosso do Sul,2018,Preta ou parda,60 anos ou mais,4.7,Anos
UF,50,Mato Grosso do Sul,2019,Branca,15 anos ou mais,10.6,Anos
UF,50,Mato Grosso do Sul,2019,Branca,15 a 17 anos,9.3,Anos
UF,50,Mato Grosso do Sul,2019,Branca,18 a 29 anos,11.8,Anos
UF,50,Mato Grosso do Sul,2019,Branca,18 a 24 anos,12.1,Anos
UF,50,Mato Grosso do Sul,2019,Branca,25 anos ou mais,10.5,Anos
UF,50,Mato Grosso do Sul,2019,Branca,25 a 39 anos,12.3,Anos
UF,50,Mato Grosso do Sul,2019,Branca,40 a 59 anos,10.4,Anos
UF,50,Mato Grosso do Sul,2019,Branca,60 anos ou mais,7.1,Anos
UF,50,Mato Grosso do Sul,2019,Preta ou parda,15 anos ou mais,9.1,Anos
UF,50,Mato Grosso do Sul,2019,Preta ou parda,15 a 17 anos,8.7,Anos
UF,50,Mato Grosso do Sul,2019,Preta ou parda,18 a 29 anos,10.6,Anos
UF,50,Mato Grosso do Sul,2019,Preta ou parda,18 a 24 anos,10.8,Anos
UF,50,Mato Grosso do Sul,2019,Preta ou parda,25 anos ou mais,8.8,Anos
UF,50,Mato Grosso do Sul,2019,Preta ou parda,25 a 39 anos,10.6,Anos
UF,50,Mato Grosso do Sul,2019,Preta ou parda,40 a 59 anos,8.5,Anos
UF,50,Mato Grosso do Sul,2019,Preta ou parda,60 anos ou mais,5.4,Anos
UF,50,Mato Grosso do Sul,2022,Branca,15 anos ou mais,11.0,Anos
UF,50,Mato Grosso do Sul,2022,Branca,15 a 17 anos,9.5,Anos
UF,50,Mato Grosso do Sul,2022,Branca,18 a 29 anos,11.8,Anos
UF,50,Mato Grosso do Sul,2022,Branca,18 a 24 anos,12.3,Anos
UF,50,Mato Grosso do Sul,2022,Branca,25 anos ou mais,11.0,Anos
UF,50,Mato Grosso do Sul,2022,Branca,25 a 39 anos,12.7,Anos
UF,50,Mato Grosso do Sul,2022,Branca,40 a 59 anos,11.1,Anos
UF,50,Mato Grosso do Sul,2022,Branca,60 anos ou mais,8.1,Anos
UF,50,Mato Grosso do Sul,2022,Preta ou parda,15 anos ou mais,9.6,Anos
UF,50,Mato Grosso do Sul,2022,Preta ou parda,15 a 17 anos,8.9,Anos
UF,50,Mato Grosso do Sul,2022,Preta ou parda,18 a 29 anos,11.2,Anos
UF,50,Mato Grosso do Sul,2022,Preta ou parda,18 a 24 anos,11.2,Anos
UF,50,Mato Grosso do Sul,2022,Preta ou parda,25 anos ou mais,9.4,Anos
UF,50,Mato Grosso do Sul,2022,Preta ou parda,25 a 39 anos,11.2,Anos
UF,50,Mato Grosso do Sul,2022,Preta ou parda,40 a 59 anos,9.4,Anos
UF,50,Mato Grosso do Sul,2022,Preta ou parda,60 anos ou mais,5.7,Anos
UF,50,Mato Grosso do Sul,2023,Branca,15 anos ou mais,11.1,Anos
UF,50,Mato Grosso do Sul,2023,Branca,15 a 17 anos,9.4,Anos
UF,50,Mato Grosso do Sul,2023,Branca,18 a 29 anos,12.3,Anos
UF,50,Mato Grosso do Sul,2023,Branca,18 a 24 anos,12.6,Anos
UF,50,Mato Grosso do Sul,2023,Branca,25 anos ou mais,11.1,Anos
UF,50,Mato Grosso do Sul,2023,Branca,25 a 39 anos,13.0,Anos
UF,50,Mato Grosso do Sul,2023,Branca,40 a 59 anos,11.2,Anos
UF,50,Mato Grosso do Sul,2023,Branca,60 anos ou mais,7.6,Anos
UF,50,Mato Grosso do Sul,2023,Preta ou parda,15 anos ou mais,9.8,Anos
UF,50,Mato Grosso do Sul,2023,Preta ou parda,15 a 17 anos,9.1,Anos
UF,50,Mato Grosso do Sul,2023,Preta ou parda,18 a 29 anos,11.3,Anos
UF,50,Mato Grosso do Sul,2023,Preta ou parda,18 a 24 anos,11.3,Anos
UF,50,Mato Grosso do Sul,2023,Preta ou parda,25 anos ou mais,9.6,Anos
UF,50,Mato Grosso do Sul,2023,Preta ou parda,25 a 39 anos,11.3,Anos
UF,50,Mato Grosso do Sul,2023,Preta ou parda,40 a 59 anos,9.6,Anos
UF,50,Mato Grosso do Sul,2023,Preta ou parda,60 anos ou mais,5.9,Anos
UF,50,Mato Grosso do Sul,2024,Branca,15 anos ou mais,11.1,Anos
UF,50,Mato Grosso do Sul,2024,Branca,15 a 17 anos,9.3,Anos
UF,50,Mato Grosso do Sul,2024,Branca,18 a 29 anos,12.3,Anos
UF,50,Mato Grosso do Sul,2024,Branca,18 a 24 anos,12.5,Anos
UF,50,Mato Grosso do Sul,2024,Branca,25 anos ou mais,11.1,Anos
UF,50,Mato Grosso do Sul,2024,Branca,25 a 39 anos,13.1,Anos
UF,50,Mato Grosso do Sul,2024,Branca,40 a 59 anos,11.0,Anos
UF,50,Mato Grosso do Sul,2024,Branca,60 anos ou mais,8.0,Anos
UF,50,Mato Grosso do Sul,2024,Preta ou parda,15 anos ou mais,9.9,Anos
UF,50,Mato Grosso do Sul,2024,Preta ou parda,15 a 17 anos,9.3,Anos
UF,50,Mato Grosso do Sul,2024,Preta ou parda,18 a 29 anos,11.2,Anos
UF,50,Mato Grosso do Sul,2024,Preta ou parda,18 a 24 anos,11.4,Anos
UF,50,Mato Grosso do Sul,2024,Preta ou parda,25 anos ou mais,9.7,Anos
UF,50,Mato Grosso do Sul,2024,Preta ou parda,25 a 39 anos,11.5,Anos
UF,50,Mato Grosso do Sul,2024,Preta ou parda,40 a 59 anos,9.9,Anos
UF,50,Mato Grosso do Sul,2024,Preta ou parda,60 anos ou mais,6.2,Anos
UF,51,Mato Grosso,2016,Branca,15 anos ou mais,9.8,Anos
UF,51,Mato Grosso,2016,Branca,15 a 17 anos,9.8,Anos
UF,51,Mato Grosso,2016,Branca,18 a 29 anos,12.0,Anos
UF,51,Mato Grosso,2016,Branca,18 a 24 anos,12.1,Anos
UF,51,Mato Grosso,2016,Branca,25 anos ou mais,9.4,Anos
UF,51,Mato Grosso,2016,Branca,25 a 39 anos,11.7,Anos
UF,51,Mato Grosso,2016,Branca,40 a 59 anos,9.2,Anos
UF,51,Mato Grosso,2016,Branca,60 anos ou mais,5.5,Anos
UF,51,Mato Grosso,2016,Preta ou parda,15 anos ou mais,8.7,Anos
UF,51,Mato Grosso,2016,Preta ou parda,15 a 17 anos,9.5,Anos
UF,51,Mato Grosso,2016,Preta ou parda,18 a 29 anos,10.8,Anos
UF,51,Mato Grosso,2016,Preta ou parda,18 a 24 anos,10.8,Anos
UF,51,Mato Grosso,2016,Preta ou parda,25 anos ou mais,8.2,Anos
UF,51,Mato Grosso,2016,Preta ou parda,25 a 39 anos,10.2,Anos
UF,51,Mato Grosso,2016,Preta ou parda,40 a 59 anos,7.6,Anos
UF,51,Mato Grosso,2016,Preta ou parda,60 anos ou mais,3.9,Anos
UF,51,Mato Grosso,2017,Branca,15 anos ou mais,10.2,Anos
UF,51,Mato Grosso,2017,Branca,15 a 17 anos,9.7,Anos
UF,51,Mato Grosso,2017,Branca,18 a 29 anos,11.8,Anos
UF,51,Mato Grosso,2017,Branca,18 a 24 anos,12.1,Anos
UF,51,Mato Grosso,2017,Branca,25 anos ou mais,10.0,Anos
UF,51,Mato Grosso,2017,Branca,25 a 39 anos,12.0,Anos
UF,51,Mato Grosso,2017,Branca,40 a 59 anos,9.6,Anos
UF,51,Mato Grosso,2017,Branca,60 anos ou mais,6.4,Anos
UF,51,Mato Grosso,2017,Preta ou parda,15 anos ou mais,8.8,Anos
UF,51,Mato Grosso,2017,Preta ou parda,15 a 17 anos,9.4,Anos
UF,51,Mato Grosso,2017,Preta ou parda,18 a 29 anos,10.9,Anos
UF,51,Mato Grosso,2017,Preta ou parda,18 a 24 anos,10.8,Anos
UF,51,Mato Grosso,2017,Preta ou parda,25 anos ou mais,8.4,Anos
UF,51,Mato Grosso,2017,Preta ou parda,25 a 39 anos,10.4,Anos
UF,51,Mato Grosso,2017,Preta ou parda,40 a 59 anos,7.9,Anos
UF,51,Mato Grosso,2017,Preta ou parda,60 anos ou mais,4.1,Anos
UF,51,Mato Grosso,2018,Branca,15 anos ou mais,10.2,Anos
UF,51,Mato Grosso,2018,Branca,15 a 17 anos,9.6,Anos
UF,51,Mato Grosso,2018,Branca,18 a 29 anos,11.9,Anos
UF,51,Mato Grosso,2018,Branca,18 a 24 anos,12.2,Anos
UF,51,Mato Grosso,2018,Branca,25 anos ou mais,10.0,Anos
UF,51,Mato Grosso,2018,Branca,25 a 39 anos,12.1,Anos
UF,51,Mato Grosso,2018,Branca,40 a 59 anos,9.7,Anos
UF,51,Mato Grosso,2018,Branca,60 anos ou mais,6.1,Anos
UF,51,Mato Grosso,2018,Preta ou parda,15 anos ou mais,9.2,Anos
UF,51,Mato Grosso,2018,Preta ou parda,15 a 17 anos,9.2,Anos
UF,51,Mato Grosso,2018,Preta ou parda,18 a 29 anos,11.1,Anos
UF,51,Mato Grosso,2018,Preta ou parda,18 a 24 anos,11.1,Anos
UF,51,Mato Grosso,2018,Preta ou parda,25 anos ou mais,8.8,Anos
UF,51,Mato Grosso,2018,Preta ou parda,25 a 39 anos,10.9,Anos
UF,51,Mato Grosso,2018,Preta ou parda,40 a 59 anos,8.3,Anos
UF,51,Mato Grosso,2018,Preta ou parda,60 anos ou mais,5.0,Anos
UF,51,Mato Grosso,2019,Branca,15 anos ou mais,10.5,Anos
UF,51,Mato Grosso,2019,Branca,15 a 17 anos,9.4,Anos
UF,51,Mato Grosso,2019,Branca,18 a 29 anos,12.3,Anos
UF,51,Mato Grosso,2019,Branca,18 a 24 anos,12.7,Anos
UF,51,Mato Grosso,2019,Branca,25 anos ou mais,10.3,Anos
UF,51,Mato Grosso,2019,Branca,25 a 39 anos,12.5,Anos
UF,51,Mato Grosso,2019,Branca,40 a 59 anos,10.0,Anos
UF,51,Mato Grosso,2019,Branca,60 anos ou mais,6.5,Anos
UF,51,Mato Grosso,2019,Preta ou parda,15 anos ou mais,9.4,Anos
UF,51,Mato Grosso,2019,Preta ou parda,15 a 17 anos,9.3,Anos
UF,51,Mato Grosso,2019,Preta ou parda,18 a 29 anos,11.1,Anos
UF,51,Mato Grosso,2019,Preta ou parda,18 a 24 anos,11.4,Anos
UF,51,Mato Grosso,2019,Preta ou parda,25 anos ou mais,9.1,Anos
UF,51,Mato Grosso,2019,Preta ou parda,25 a 39 anos,11.2,Anos
UF,51,Mato Grosso,2019,Preta ou parda,40 a 59 anos,8.6,Anos
UF,51,Mato Grosso,2019,Preta ou parda,60 anos ou mais,5.2,Anos
UF,51,Mato Grosso,2022,Branca,15 anos ou mais,10.5,Anos
UF,51,Mato Grosso,2022,Branca,15 a 17 anos,9.6,Anos
UF,51,Mato Grosso,2022,Branca,18 a 29 anos,12.0,Anos
UF,51,Mato Grosso,2022,Branca,18 a 24 anos,12.3,Anos
UF,51,Mato Grosso,2022,Branca,25 anos ou mais,10.4,Anos
UF,51,Mato Grosso,2022,Branca,25 a 39 anos,12.7,Anos
UF,51,Mato Grosso,2022,Branca,40 a 59 anos,10.2,Anos
UF,51,Mato Grosso,2022,Branca,60 anos ou mais,6.8,Anos
UF,51,Mato Grosso,2022,Preta ou parda,15 anos ou mais,9.7,Anos
UF,51,Mato Grosso,2022,Preta ou parda,15 a 17 anos,9.5,Anos
UF,51,Mato Grosso,2022,Preta ou parda,18 a 29 anos,11.4,Anos
UF,51,Mato Grosso,2022,Preta ou parda,18 a 24 anos,11.5,Anos
UF,51,Mato Grosso,2022,Preta ou parda,25 anos ou mais,9.3,Anos
UF,51,Mato Grosso,2022,Preta ou parda,25 a 39 anos,11.2,Anos
UF,51,Mato Grosso,2022,Preta ou parda,40 a 59 anos,9.1,Anos
UF,51,Mato Grosso,2022,Preta ou parda,60 anos ou mais,5.3,Anos
UF,51,Mato Grosso,2023,Branca,15 anos ou mais,10.7,Anos
UF,51,Mato Grosso,2023,Branca,15 a 17 anos,9.3,Anos
UF,51,Mato Grosso,2023,Branca,18 a 29 anos,11.9,Anos
UF,51,Mato Grosso,2023,Branca,18 a 24 anos,12.3,Anos
UF,51,Mato Grosso,2023,Branca,25 anos ou mais,10.6,Anos
UF,51,Mato Grosso,2023,Branca,25 a 39 anos,12.8,Anos
UF,51,Mato Grosso,2023,Branca,40 a 59 anos,10.6,Anos
UF,51,Mato Grosso,2023,Branca,60 anos ou mais,6.9,Anos
UF,51,Mato Grosso,2023,Preta ou parda,15 anos ou mais,9.8,Anos
UF,51,Mato Grosso,2023,Preta ou parda,15 a 17 anos,9.2,Anos
UF,51,Mato Grosso,2023,Preta ou parda,18 a 29 anos,11.4,Anos
UF,51,Mato Grosso,2023,Preta ou parda,18 a 24 anos,11.5,Anos
UF,51,Mato Grosso,2023,Preta ou parda,25 anos ou mais,9.5,Anos
UF,51,Mato Grosso,2023,Preta ou parda,25 a 39 anos,11.4,Anos
UF,51,Mato Grosso,2023,Preta ou parda,40 a 59 anos,9.2,Anos
UF,51,Mato Grosso,2023,Preta ou parda,60 anos ou mais,5.7,Anos
UF,51,Mato Grosso,2024,Branca,15 anos ou mais,11.2,Anos
UF,51,Mato Grosso,2024,Branca,15 a 17 anos,9.5,Anos
UF,51,Mato Grosso,2024,Branca,18 a 29 anos,12.5,Anos
UF,51,Mato Grosso,2024,Branca,18 a 24 anos,12.7,Anos
UF,51,Mato Grosso,2024,Branca,25 anos ou mais,11.1,Anos
UF,51,Mato Grosso,2024,Branca,25 a 39 anos,13.1,Anos
UF,51,Mato Grosso,2024,Branca,40 a 59 anos,11.0,Anos
UF,51,Mato Grosso,2024,Branca,60 anos ou mais,7.6,Anos
UF,51,Mato Grosso,2024,Preta ou parda,15 anos ou mais,10.1,Anos
UF,51,Mato Grosso,2024,Preta ou parda,15 a 17 anos,9.4,Anos
UF,51,Mato Grosso,2024,Preta ou parda,18 a 29 anos,11.5,Anos
UF,51,Mato Grosso,2024,Preta ou parda,18 a 24 anos,11.7,Anos
UF,51,Mato Grosso,2024,Preta ou parda,25 anos ou mais,9.9,Anos
UF,51,Mato Grosso,2024,Preta ou parda,25 a 39 anos,11.7,Anos
UF,51,Mato Grosso,2024,Preta ou parda,40 a 59 anos,9.7,Anos
UF,51,Mato Grosso,2024,Preta ou parda,60 anos ou mais,6.1,Anos
UF,52,Goiás,2016,Branca,15 anos ou mais,10.0,Anos
UF,52,Goiás,2016,Branca,15 a 17 anos,9.6,Anos
UF,52,Goiás,2016,Branca,18 a 29 anos,11.7,Anos
UF,52,Goiás,2016,Branca,18 a 24 anos,12.0,Anos
UF,52,Goiás,2016,Branca,25 anos ou mais,9.8,Anos
UF,52,Goiás,2016,Branca,25 a 39 anos,11.8,Anos
UF,52,Goiás,2016,Branca,40 a 59 anos,9.5,Anos
UF,52,Goiás,2016,Branca,60 anos ou mais,6.4,Anos
UF,52,Goiás,2016,Preta ou parda,15 anos ou mais,9.0,Anos
UF,52,Goiás,2016,Preta ou parda,15 a 17 anos,9.0,Anos
UF,52,Goiás,2016,Preta ou parda,18 a 29 anos,10.9,Anos
UF,52,Goiás,2016,Preta ou parda,18 a 24 anos,11.0,Anos
UF,52,Goiás,2016,Preta ou parda,25 anos ou mais,8.6,Anos
UF,52,Goiás,2016,Preta ou parda,25 a 39 anos,10.4,Anos
UF,52,Goiás,2016,Preta ou parda,40 a 59 anos,8.2,Anos
UF,52,Goiás,2016,Preta ou parda,60 anos ou mais,4.4,Anos
UF,52,Goiás,2017,Branca,15 anos ou mais,10.2,Anos
UF,52,Goiás,2017,Branca,15 a 17 anos,9.5,Anos
UF,52,Goiás,2017,Branca,18 a 29 anos,11.7,Anos
UF,52,Goiás,2017,Branca,18 a 24 anos,12.1,Anos
UF,52,Goiás,2017,Branca,25 anos ou mais,10.0,Anos
UF,52,Goiás,2017,Branca,25 a 39 anos,12.2,Anos
UF,52,Goiás,2017,Branca,40 a 59 anos,9.7,Anos
UF,52,Goiás,2017,Branca,60 anos ou mais,6.8,Anos
UF,52,Goiás,2017,Preta ou parda,15 anos ou mais,9.2,Anos
UF,52,Goiás,2017,Preta ou parda,15 a 17 anos,9.2,Anos
UF,52,Goiás,2017,Preta ou parda,18 a 29 anos,11.3,Anos
UF,52,Goiás,2017,Preta ou parda,18 a 24 anos,11.3,Anos
UF,52,Goiás,2017,Preta ou parda,25 anos ou mais,8.8,Anos
UF,52,Goiás,2017,Preta ou parda,25 a 39 anos,10.8,Anos
UF,52,Goiás,2017,Preta ou parda,40 a 59 anos,8.3,Anos
UF,52,Goiás,2017,Preta ou parda,60 anos ou mais,4.8,Anos
UF,52,Goiás,2018,Branca,15 anos ou mais,10.4,Anos
UF,52,Goiás,2018,Branca,15 a 17 anos,9.2,Anos
UF,52,Goiás,2018,Branca,18 a 29 anos,12.0,Anos
UF,52,Goiás,2018,Branca,18 a 24 anos,12.2,Anos
UF,52,Goiás,2018,Branca,25 anos ou mais,10.2,Anos
UF,52,Goiás,2018,Branca,25 a 39 anos,12.5,Anos
UF,52,Goiás,2018,Branca,40 a 59 anos,10.1,Anos
UF,52,Goiás,2018,Branca,60 anos ou mais,7.0,Anos
UF,52,Goiás,2018,Preta ou parda,15 anos ou mais,9.3,Anos
UF,52,Goiás,2018,Preta ou parda,15 a 17 anos,9.0,Anos
UF,52,Goiás,2018,Preta ou parda,18 a 29 anos,11.5,Anos
UF,52,Goiás,2018,Preta ou parda,18 a 24 anos,11.6,Anos
UF,52,Goiás,2018,Preta ou parda,25 anos ou mais,8.9,Anos
UF,52,Goiás,2018,Preta ou parda,25 a 39 anos,11.0,Anos
UF,52,Goiás,2018,Preta ou parda,40 a 59 anos,8.4,Anos
UF,52,Goiás,2018,Preta ou parda,60 anos ou mais,4.9,Anos
UF,52,Goiás,2019,Branca,15 anos ou mais,10.4,Anos
UF,52,Goiás,2019,Branca,15 a 17 anos,9.4,Anos
UF,52,Goiás,2019,Branca,18 a 29 anos,12.2,Anos
UF,52,Goiás,2019,Branca,18 a 24 anos,12.4,Anos
UF,52,Goiás,2019,Branca,25 anos ou mais,10.2,Anos
UF,52,Goiás,2019,Branca,25 a 39 anos,12.5,Anos
UF,52,Goiás,2019,Branca,40 a 59 anos,10.0,Anos
UF,52,Goiás,2019,Branca,60 anos ou mais,7.0,Anos
UF,52,Goiás,2019,Preta ou parda,15 anos ou mais,9.5,Anos
UF,52,Goiás,2019,Preta ou parda,15 a 17 anos,9.3,Anos
UF,52,Goiás,2019,Preta ou parda,18 a 29 anos,11.5,Anos
UF,52,Goiás,2019,Preta ou parda,18 a 24 anos,11.5,Anos
UF,52,Goiás,2019,Preta ou parda,25 anos ou mais,9.2,Anos
UF,52,Goiás,2019,Preta ou parda,25 a 39 anos,11.0,Anos
UF,52,Goiás,2019,Preta ou parda,40 a 59 anos,9.1,Anos
UF,52,Goiás,2019,Preta ou parda,60 anos ou mais,5.3,Anos
UF,52,Goiás,2022,Branca,15 anos ou mais,10.7,Anos
UF,52,Goiás,2022,Branca,15 a 17 anos,9.6,Anos
UF,52,Goiás,2022,Branca,18 a 29 anos,12.3,Anos
UF,52,Goiás,2022,Branca,18 a 24 anos,12.6,Anos
UF,52,Goiás,2022,Branca,25 anos ou mais,10.5,Anos
UF,52,Goiás,2022,Branca,25 a 39 anos,12.7,Anos
UF,52,Goiás,2022,Branca,40 a 59 anos,10.3,Anos
UF,52,Goiás,2022,Branca,60 anos ou mais,7.5,Anos
UF,52,Goiás,2022,Preta ou parda,15 anos ou mais,9.8,Anos
